Paper;Total Citations;TC per Year
HUANG C, 2020, LANCET;326;326
ZHU N, 2020, NEW ENGL J MED;222;222
LI Q, 2020, N ENGL J MED;192;192
CHEN N, 2020, LANCET;179;179
WANG D, 2020, JAMA;159;159
CHAN JFW, 2020, LANCET;153;153
ZHOU P, 2020, NATURE;133;133
LU R, 2020, LANCET;123;123
HOLSHUE ML, 2020, NEW ENGL J MED;88;88
ROTHE C, 2020, NEW ENGL J MED;75;75
WANG C, 2020, LANCET;72;72
WU JT, 2020, LANCET;63;63
WU Z, 2020, JAMA;56;56
HUI DS, 2020, INT J INFECT DIS;53;53
WU F, 2020, NATURE;50;50
LU H, 2020, J MED VIROL;46;46
WANG M, 2020, CELL RES;43;43
WAN Y, 2020, J VIROL;38;38
PAULES CI, 2020, JAMA;38;38
CHEN H, 2020, LANCET;37;37
