Source;h_index;g_index;m_index;TC;NP;PY_start
THE LANCET;11;33;11;1120;79;2020
JOURNAL OF MEDICAL VIROLOGY;7;14;7;240;65;2020
JAMA - JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;8;19;8;369;44;2020
NATURE;4;14;4;201;42;2020
VIRUSES;3;5;3;35;35;2020
THE BMJ;2;4;2;29;33;2020
THE LANCET INFECTIOUS DISEASES;4;5;4;53;31;2020
JOURNAL OF INFECTION;3;4;3;23;30;2020
TRAVEL MEDICINE AND INFECTIOUS DISEASE;3;5;3;35;30;2020
EMERGING MICROBES AND INFECTIONS;5;8;5;80;29;2020
SCIENCE;4;5;4;29;24;2020
TRANSBOUNDARY AND EMERGING DISEASES;1;1;1;3;24;2020
EUROSURVEILLANCE;5;9;5;84;21;2020
BMJ (CLINICAL RESEARCH ED.);3;4;3;23;19;2020
JOURNAL OF VIROLOGY;2;6;2;42;16;2020
METHODS IN MOLECULAR BIOLOGY;1;1;1;2;16;2020
INTENSIVE CARE MEDICINE;4;4;4;32;15;2020
ANTIVIRAL RESEARCH;1;2;1;6;14;2020
INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY;1;1;1;2;14;2020
JOURNAL OF HOSPITAL INFECTION;2;4;2;16;14;2020
